Date,Open,High,Low,Close,Adj Close,Volume,Per Change
3/22/99,2428.389893,2430.850098,2395.290039,2395.939941,2395.939941,874200000,0
3/23/99,2388.040039,2395.939941,2319.959961,2322.840088,2322.840088,976000000,0.116449325
3/24/99,2326.629883,2365.350098,2305.639893,2365.280029,2365.280029,856520000,-0.122418033
3/25/99,2399.719971,2434.889893,2399.719971,2434.800049,2434.800049,939490000,0.096868725
3/26/99,2425.050049,2445.719971,2410.459961,2419.169922,2419.169922,831140000,-0.115328529
3/29/99,2442.590088,2492.840088,2419.169922,2492.840088,2492.840088,876200000,0.054214693
3/30/99,2492.169922,2506.790039,2477.620117,2480.290039,2480.290039,896110000,0.022723123
3/31/99,2508.340088,2520.629883,2458.77002,2461.399902,2461.399902,1101200000,0.228866992
4/1/99,2493.070068,2502.459961,2460.23999,2493.370117,2493.370117,848680000,-0.229313476
4/5/99,2523.97998,2560.100098,2515.699951,2560.060059,2560.060059,977920000,0.152283546
4/6/99,2555.47998,2582.370117,2544.040039,2563.169922,2563.169922,1113990000,0.139142261
4/7/99,2594.780029,2596.25,2511.389893,2544.429932,2544.429932,1272750000,0.142514744
4/8/99,2553.449951,2573.969971,2514.27002,2573.389893,2573.389893,1145880000,-0.099681791
4/9/99,2574.97998,2599.199951,2561.51001,2593.050049,2593.050049,1091380000,-0.047561699
4/12/99,2530.98999,2606.23999,2526.840088,2598.810059,2598.810059,1143330000,0.047600286
4/13/99,2626.850098,2632.51001,2575.050049,2583.5,2583.5,1341700000,0.173501964
4/14/99,2621.52002,2628.189941,2507.280029,2507.280029,2507.280029,1416190000,0.055519118
4/15/99,2535.189941,2536.340088,2443.02002,2521.77002,2521.77002,1233960000,-0.128676237
4/16/99,2528.51001,2528.51001,2476.929932,2484.040039,2484.040039,1027070000,-0.167663457
4/19/99,2501.709961,2501.709961,2341.350098,2345.610107,2345.610107,1200990000,0.169336073
4/20/99,2355.26001,2409.780029,2329.870117,2409.639893,2409.639893,1143740000,-0.047669006
4/21/99,2428.889893,2489.840088,2404.709961,2489.080078,2489.080078,1125280000,-0.016140032
4/22/99,2551.129883,2561.790039,2525.26001,2561.610107,2561.610107,1110460000,-0.013170055
4/23/99,2563.870117,2603.100098,2538,2590.689941,2590.689941,1049670000,-0.054743079
4/26/99,2617.090088,2661.51001,2615.72998,2652.050049,2652.050049,1050470000,0.000762144
4/27/99,2671.570068,2677.76001,2602.129883,2602.409912,2602.409912,1132010000,0.077622398
4/28/99,2601.129883,2610.909912,2544.899902,2550.370117,2550.370117,1000820000,-0.115891202
4/29/99,2544.929932,2553.100098,2500.75,2528.439941,2528.439941,1005650000,0.004826043
4/30/99,2565.870117,2578.060059,2488.399902,2542.860107,2542.860107,994460000,-0.011127132
5/3/99,2546.330078,2549.100098,2512.370117,2535.580078,2535.580078,866010000,-0.129165577
5/4/99,2535.810059,2557.209961,2482.48999,2485.120117,2485.120117,921730000,0.064341058
5/5/99,2498.149902,2534.449951,2430.649902,2534.449951,2534.449951,1038730000,0.12693522
5/6/99,2532.409912,2546.360107,2464.570068,2472.280029,2472.280029,909640000,-0.124276761
5/7/99,2499.530029,2507.719971,2462.27002,2503.620117,2503.620117,867050000,-0.04682072
5/10/99,2516.840088,2536.110107,2500.73999,2526.389893,2526.389893,831130000,-0.04142783
5/11/99,2553.02002,2574.370117,2542.419922,2566.679932,2566.679932,954690000,0.14866507
5/12/99,2584.570068,2610.330078,2548.23999,2606.540039,2606.540039,1032500000,0.081502896
5/13/99,2621.73999,2632.73999,2581.75,2582,2582,1069560000,0.035893462
5/14/99,2549.330078,2558.590088,2519.530029,2527.860107,2527.860107,936350000,-0.124546543
5/17/99,2517.26001,2561.850098,2494.51001,2561.840088,2561.840088,787680000,-0.158776099
5/18/99,2569.590088,2576.429932,2543.320068,2558.360107,2558.360107,862100000,0.094479992
5/19/99,2568.439941,2577.929932,2540.379883,2577.399902,2577.399902,964350000,0.11860573
5/20/99,2585.459961,2587.330078,2542.22998,2542.22998,2542.22998,1004770000,0.041914243
5/21/99,2551.419922,2553.76001,2509.23999,2520.139893,2520.139893,889330000,-0.114891965
5/24/99,2529.300049,2529.300049,2444.889893,2453.659912,2453.659912,919880000,0.034351703
5/25/99,2454.629883,2466.169922,2379.610107,2380.899902,2380.899902,1048510000,0.139833457
5/26/99,2407.860107,2427.179932,2339.120117,2427.179932,2427.179932,1099420000,0.048554616
5/27/99,2421.100098,2440.080078,2400.939941,2419.149902,2419.149902,834390000,-0.24106347
5/28/99,2427.830078,2470.639893,2412.110107,2470.52002,2470.52002,681570000,-0.183151764
6/1/99,2467.51001,2470.530029,2411.969971,2412.030029,2412.030029,743680000,0.091127837
6/2/99,2411.320068,2436.570068,2364.590088,2432.409912,2432.409912,895580000,0.204254518
6/3/99,2440.75,2444.040039,2402.290039,2403.320068,2403.320068,819310000,-0.085162688
6/4/99,2419.459961,2478.340088,2419.459961,2478.340088,2478.340088,885690000,0.081019394
6/7/99,2490.830078,2528.050049,2478.340088,2524.209961,2524.209961,874770000,-0.01232937
6/8/99,2526.110107,2534.47998,2472.050049,2474.560059,2474.560059,847720000,-0.030922414
6/9/99,2495.120117,2519.570068,2491.709961,2519.350098,2519.350098,841720000,-0.007077809
6/10/99,2504.23999,2523.48999,2468.580078,2484.620117,2484.620117,796410000,-0.053830252
6/11/99,2495.590088,2506.189941,2442.870117,2447.879883,2447.879883,755120000,-0.051845155
6/14/99,2453.22998,2456.169922,2397.120117,2398.310059,2398.310059,835470000,0.106406929
6/15/99,2403.469971,2434.52002,2397.399902,2414.669922,2414.669922,837020000,0.001855243
