symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,
TGT,2.33059558,-1.712548015,FALSE,1.496888719,-0.094503071,FALSE,3.037941305,-5.494687915,FALSE,14.06213561,16.28243973,TRUE,10.07498783,11.29257398,TRUE,28.04428002,2.230769231,FALSE
ANTM,1.759566979,2.713972719,TRUE,4.223607362,3.505082369,FALSE,5.340558056,6.264896153,TRUE,-4.028180783,-7.910003136,FALSE,19.03272126,16.48464992,FALSE,37.84262782,40.11572261,TRUE
VTKLY,-0.134459396,-3.319308088,FALSE,-3.158979745,-13.39148281,FALSE,-0.014291104,-8.652900688,FALSE,6.168244614,10.67097817,TRUE,26.65605191,19.63636364,FALSE,25.13091197,-32.17703349,FALSE
BABA,-5.151062497,-2.686953707,TRUE,-0.372145872,4.63018641,TRUE,4.316158137,10.67304985,TRUE,22.10660016,37.55290875,TRUE,38.55354555,66.30192287,TRUE,40.66364694,64.87848087,TRUE
VZ,2.869852273,0.833179041,FALSE,1.591318801,-2.644691453,FALSE,2.705335472,-5.954500495,FALSE,18.60318364,-9.261525908,FALSE,34.56692519,-10.16042781,FALSE,-,-,
CPCAY,2.703294634,-2.945736434,FALSE,6.107058059,0.895522388,FALSE,-1.952739819,4.871060172,TRUE,-,-,-,-,-,-,,,
FB,-3.311312219,-4.531875675,FALSE,-7.329171843,-6.97281124,TRUE,-12.2661418,-13.13200798,FALSE,-,-,-,-,-,-,,,
,,,,,,,,,,,,,,,,,,
Avg,-0.157319129,-2.017149366,,0.034777535,-2.385274319,,-0.468389133,-4.817820596,,1.197083346,-26.91205271,,13.52882816,-25.07800023,,25.9220258,-50.77442596,
Med,0.637311411,-0.105493671,,0.110122073,-0.825193128,,0.075703079,-1.981408497,,5.734649644,1.651214339,,18.26350967,7.851761773,,30.17557071,0.387596899,
StdDEv,2.46872687,7.839082901,,3.860908716,9.596080214,,6.943377113,16.94405789,,20.77484184,76.78723686,,23.14308408,91.56620201,,15.3961311,145.5530874,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,NASDAQ,Stock,StdDev Lower,StdDev Upper,StdDev,,,,,,,,,,,,
,One Week,-0.157319129,-2.017149366,-9.856232267,5.821933535,7.839082901,,,,,,,,,,,,
,Two Week,0.034777535,-2.385274319,-11.98135453,7.210805895,9.596080214,,,,,,,,,,,,
,One Month,-0.468389133,-4.817820596,-21.76187848,12.12623729,16.94405789,,,,,,,,,,,,
,One Year,1.197083346,-26.91205271,-103.6992896,49.87518415,76.78723686,,,,,,,,,,,,
,Two Year,13.52882816,-25.07800023,-116.6442022,66.48820178,91.56620201,,,,,,,,,,,,
,Three Year,25.9220258,-50.77442596,-196.3275133,94.77866139,145.5530874,,,,,,,,,,,,
