symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,,
BKS,0.980116204,9.295441089,TRUE,-3.27671418,-2.201467645,TRUE,-0.795788874,-0.196206671,TRUE,23.94460768,-3.934871099,FALSE,36.40620617,32.30225365,FALSE,42.00387628,-22.16905901,FALSE,
ATVI,1.428622792,1.936026936,TRUE,1.138403423,0.639658849,FALSE,3.75523788,3.078202995,FALSE,17.4736696,30.32296651,TRUE,34.13253709,51.49875104,TRUE,38.31894946,62.38295124,TRUE,
GPN,-1.460086012,-4.510451045,FALSE,-3.452354751,-6.240214717,FALSE,-1.484064898,-2.304544476,FALSE,5.301054674,-5.042016807,FALSE,24.12207583,27.20306513,TRUE,38.21246538,53.3765214,TRUE,
KT,-2.995513385,4.814814815,TRUE,-4.953524972,0.155400155,TRUE,-6.108349998,-8.530405405,FALSE,12.02127837,29.20110193,TRUE,28.10219719,16.88227684,FALSE,39.33523223,0.387596899,FALSE,
TD,1.165685948,0.011994722,FALSE,-2.493263912,-0.895666909,TRUE,-5.851675223,-3.875389408,TRUE,21.55195667,7.357190487,FALSE,33.70980593,-71.17043121,FALSE,38.51045921,-105.9288538,FALSE,
ADBE,-0.36136643,0.557021401,TRUE,2.298896399,2.276001152,FALSE,3.708689532,6.160088528,TRUE,10.46135891,18.18620357,TRUE,24.96565388,42.21465077,TRUE,26.94123219,53.17504141,TRUE,
AAPL,-0.03473052,4.7968914,TRUE,2.506398928,9.189477048,TRUE,-0.314837597,16.03773585,TRUE,17.28261975,-343.4723812,FALSE,28.47229693,-270.2214503,FALSE,30.99647672,-294.6218643,FALSE,
CHG,1.374740529,0.076464291,FALSE,-0.58491914,0.229042602,TRUE,-0.515899225,-0.848896435,FALSE,24.64327674,-6006.542056,FALSE,35.68973811,-3216.751269,FALSE,34.07496625,-,,
C,-0.849254139,0.766430351,TRUE,0.451418815,0.671269659,TRUE,1.615308213,-0.387672029,FALSE,18.74311024,-4.7956293,FALSE,29.24065745,11.83180116,FALSE,31.08556308,-11.30453471,FALSE,
WAG,0.908171709,-1.660967269,FALSE,3.112540036,-3.712932968,FALSE,2.827223522,9.146474569,TRUE,28.14338246,39.22313084,TRUE,36.57652102,45.27284681,TRUE,-,-,,
DNB,1.413358822,0.057659043,FALSE,-2.265498979,-3.637269557,FALSE,3.736046896,2.28319083,FALSE,14.23196363,11.5571052,FALSE,23.32844899,6.943450251,FALSE,27.53318767,16.01389001,FALSE,
